Country2000,US2000,China2000,Country2024,US2024,China2024
Afghanistan,9,25,Afghanistan,34,"1,586"
Albania,29,14,Albania,270,"1,342"
Algeria,"3,586",199,Algeria,"3,476","12,487"
Andorra,11,0,Andorra,8,11
Angola,"3,781","1,876",Angola,"2,552","20,890"
Anguilla,31,,Anguilla,74,7
Antigua and Barbuda,140,1,Antigua and Barbuda,598,120
Argentina,"7,795","1,540",Argentina,"16,263","16,347"
Armenia,79,5,Armenia,282,"1,802"
Aruba,"1,827",,Aruba,736,87
Australia,"18,920","8,453",Australia,"51,279","211,899"
Austria,"5,818",781,Austria,"22,046","12,243"
Azerbaijan,231,6,Azerbaijan,413,"2,467"
Bahamas,"1,344",8,Bahamas,"7,432","1,273"
Bahrain,787,121,Bahrain,"2,851","1,474"
Bangladesh,"2,657",918,Bangladesh,"10,580","24,078"
Barbados,346,3,Barbados,821,197
Belarus,135,114,Belarus,31,"8,401"
Belgium,"23,855","3,687",Belgium,"62,028","39,091"
Belize,302,4,Belize,672,213
Benin,29,372,Benin,265,"1,107"
Bermuda,468,,Bermuda,564,345
Bhutan,2,,Bhutan,7,69
Bolivia,438,17,Bolivia,905,"2,721"
Bosnia and Herzegovina,62,4,Bosnia and Herzegovina,232,417
Botswana,73,11,Botswana,509,"1,012"
Brazil,"29,173","2,845",Brazil,"91,983","188,395"
British Indian Ocean Terr.,4,,British Indian Ocean Territory,6,1
British Virgin Islands,94,1,British Virgin Islands,373,218
Brunei,540,74,Brunei Darussalam,366,"2,814"
Bulgaria,350,94,Bulgaria,"1,980","4,040"
Burkina Faso,18,,Burkina Faso,59,742
Burma,488,621,Myanmar,734,"16,286"
Burundi,10,5,Burundi,10,113
Cabo Verde,11,,Cabo Verde,17,114
Cambodia,857,224,Cambodia,"12,983","17,818"
Cameroon,215,161,Cameroon,442,"4,722"
Canada,"409,779","6,909",Canada,"762,056","93,036"
Cayman Islands,361,,Cayman Islands,"1,336",77
Central African Republic,5,1,Central African Republic,36,95
Chad,15,1,Chad,141,"1,131"
Chile,"6,730","2,122",Chile,"34,637","61,482"
Christmas Island,2,,Christmas Island,4,0
Cocos (Keeling) Islands,1,,Cocos (Keeling) Islands,4,0
Colombia,"10,640",188,Colombia,"36,728","21,040"
Comoros,4,0,Comoros,7,97
Congo (Brazzaville),614,342,Congo (Brazzaville),277,"5,714"
Congo (Kinshasa),225,19,Congo (Kinshasa),576,"25,938"
Cook Islands,4,0,Cook Islands,8,21
Costa Rica,"5,999",75,Costa Rica,"21,312","7,760"
Cote d'Ivoire,479,230,Côte d'Ivoire,"1,611","5,056"
Croatia,231,85,Croatia,"1,995","2,956"
Cuba,7,314,Cuba,591,915
Cyprus,214,152,Curacao,855,88
Czech Republic,"1,806",437,Cyprus,242,"1,147"
Denmark,"4,472","1,334",Czech Republic,"12,362","23,222"
Djibouti,17,54,Denmark,"15,848","15,455"
Dominica,44,60,Djibouti,185,"3,059"
Dominican Republic,"8,856",76,Dominica,61,47
East Timor,-,,Dominican Republic,"20,587","5,184"
Ecuador,"3,276",155,East Timor,25,267
Egypt,"4,222",907,Ecuador,"16,056","13,981"
El Salvador,"3,713",63,Egypt,"8,638","17,387"
Equatorial Guinea,250,323,El Salvador,"6,868","1,967"
Eritrea,17,,Equatorial Guinea,223,"1,154"
Estonia,661,67,Eritrea,38,604
Eswatini,120,3,Estonia,"1,439","1,148"
Ethiopia,194,59,Eswatini,69,51
Falkland Islands(Islas Malvin),3,,Ethiopia,"1,484","3,555"
Faroe Islands,33,,Falkland Islands (Malvinas),27,0
Fiji,170,15,Faroe Islands,251,
Finland,"4,822","3,190",Fiji,354,534
France,"50,162","7,667",Finland,"10,594","8,216"
French Guiana,19,,France,"103,424","79,826"
French Polynesia,138,4,French Guiana,31,
French Southern and Antarctic,2,,French Polynesia,186,147
Gabon,"2,260",342,French Southern and Antarctic,2,0
Gambia,9,,Gabon,343,"3,642"
Gaza Strip admin. by Israel,1,,Gambia,83,496
Georgia,141,4,Gaza Strip admin. by Israel,1,
Germany,"87,961","19,687",Georgia,"1,902","2,251"
Ghana,396,121,Germany,"236,049","201,847"
Gibraltar,17,,Ghana,"2,139","11,826"
Greece,"1,813",627,Gibraltar,651,43
Greenland,17,6,Greece,"4,857","12,862"
Grenada,107,,Greenland,81,383
Guadeloupe,96,,Grenada,179,28
Guatemala,"4,508",143,Guadeloupe,474,
Guinea,156,34,Guatemala,"14,735","5,037"
Guinea-Bissau,1,5,Guinea,145,"11,583"
Guyana,299,14,Guinea-Bissau,4,98
Haiti,874,16,Guyana,"6,690","1,407"
Heard and McDonald Islands,1,,Haiti,"1,831",456
Honduras,"5,674",62,Heard and McDonald Islands,0,
Hong Kong,"26,031","53,947",Honduras,"12,590","2,033"
Hungary,"3,284",997,Hong Kong,"33,859","310,009"
Iceland,516,32,Hungary,"15,965","16,176"
India,"14,354","2,914",Iceland,"2,058",443
Indonesia,"12,769","7,464",India,"129,169","138,570"
Iran,186,"2,486",Indonesia,"38,287","147,985"
Iraq,"6,076",975,Iran,97,"13,374"
Ireland,"24,177",714,Iraq,"9,083","54,236"
Israel,"20,710","1,054",Ireland,"119,824","23,415"
Italy,"36,103","6,880",Israel,"37,010","22,732"
Jamaica,"2,024",79,Italy,"108,768","72,484"
Japan,"211,404","83,164",Jamaica,"3,006","1,090"
Jordan,390,253,Japan,"227,949","308,321"
Kazakhstan,553,"1,557",Jordan,"5,396","5,364"
Kenya,348,137,Kazakhstan,"3,408","43,976"
Kiribati,6,1,Kenya,"1,520","8,829"
North Korea,3,488,Kiribati,5,54
South Korea,"68,138","34,500",North Korea,2,"2,182"
Kuwait,"3,568",616,South Korea,"197,091","328,154"
Kyrgyzstan,25,178,Kosovo,83,
Laos,14,41,Kuwait,"4,055","16,283"
Latvia,422,29,Kyrgyzstan,150,"22,718"
